22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
67 - 69, non-government, pre-university, widowed, other-service, white, female, *, 93268
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 56171
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 89606
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 55236
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 45550
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 52921
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 36423
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 62233
70 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 81878
62 - 90, non-government, pre-university, never-married, other-service, white, female, united-states, 65670
62 - 90, non-government, pre-university, never-married, other-service, white, female, united-states, 97737
62 - 90, non-government, pre-university, never-married, other-service, white, female, united-states, 40741
62 - 90, non-government, pre-university, never-married, other-service, white, female, united-states, 78110
62 - 90, non-government, pre-university, never-married, other-service, white, female, united-states, 86662
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 114158
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 93743
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 77554
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 83687
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 67327
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 119806
38 - 66, private, bachelors, married, manual-labour, *, male, asia, 43379
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 62552
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 41715
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 105410
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 49608
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 73381
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 98817
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 107484
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 60410
38 - 39, private, pre-doctorate, married, craft-repair, *, male, north-america, 88137
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 114218
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 119647
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 61714
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 85129
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 43629
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 105715
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 118037
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 96186
41 - 43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 52882
44, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 115393
44, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 83842
44, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 117347
44, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 96276
44, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 62053
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 102560
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 84466
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 111393
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 55036
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 74353
46, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 74835
46, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 45896
46, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 96334
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 116122
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 57898
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 76796
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 85771
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 87166
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 68615
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 88901
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 62497
38 - 45, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 92577
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 123894
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 111587
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 52994
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 60912
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 53914
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 102235
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 92472
38 - 45, self-emp-inc, pre-doctorate, married, skilled, *, male, united-states, 95367
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 66263
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 49797
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 53797
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 98742
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 90941
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 58703
38 - 41, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 86478
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 66414
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 121925
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 117261
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 50033
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 99711
42 - 46, self-emp-not-inc, pre-doctorate, married, craft-repair, white, male, united-states, 81354
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 113657
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 113375
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 82131
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 67398
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 44694
38 - 39, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 79134
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 89860
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 101301
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 87042
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 89518
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 114188
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 53265
40 - 41, non-government, bachelors, married-civ-spouse, unskilled, white, male, north-america, 87992
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 103057
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 61547
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 111627
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 63573
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 110487
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 58245
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 100188
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 99265
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 88155
42, non-government, pre-doctorate, married, unskilled, white, male, united-states, 60284
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 61240
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 41498
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 78621
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 80581
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 52919
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 93822
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 104094
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 55648
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 79080
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 51513
43 - 44, non-government, pre-doctorate, married-civ-spouse, unskilled, *, male, north-america, 70904
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 87344
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 57912
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 40866
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 88840
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 92975
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 117465
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 65550
45, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 64675
46, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 104500
46, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 106045
46, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 57986
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 48922
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 41172
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 88624
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 100252
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 50002
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 119453
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 61379
47 - 49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 56714
50, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, central-north-america, 81333
50, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, central-north-america, 71360
50, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, central-north-america, 128904
50, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, central-north-america, 79906
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 106464
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 50415
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 74505
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 69535
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 112299
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 99142
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 94379
51 - 53, private, pre-doctorate, married-civ-spouse, craft-repair, *, male, united-states, 95391
47 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 110578
47 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 78695
47 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 54309
47 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 62401
47 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 90246
48 - 50, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 40627
48 - 50, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 112943
48 - 50, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 112876
48 - 50, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 58394
48 - 50, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 40153
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 56517
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 59852
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 104230
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 84529
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 68349
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 85796
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 84668
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 58694
47 - 49, non-government, pre-doctorate, married, unskilled, white, male, central-north-america, 104839
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 114408
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 59700
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 62097
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 54278
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 100945
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 78222
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 70870
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 91372
50 - 53, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, north-america, 91287
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 109210
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 92185
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 53266
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 85228
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 55011
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 81269
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 91934
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 90792
54 - 56, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 48914
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 85449
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 114769
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 43109
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 82368
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 110878
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 137882
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 118306
57 - 59, non-government, pre-doctorate, married-civ-spouse, skilled, *, male, united-states, 97297
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 96857
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 73043
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 58828
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 113060
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 61675
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 85263
54 - 59, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 125032
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 64560
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 118966
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 103625
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 92960
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 78177
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 81140
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 42126
60 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 86050
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 45256
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 62183
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 76163
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 133317
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 75898
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 101140
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 52476
60 - 63, non-government, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 113306
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 68699
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 113975
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 81576
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 110799
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 87730
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 64822
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 117852
65 - 84, non-government, bachelors, married-civ-spouse, unskilled, white, male, united-states, 92855
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 47027
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 62807
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 40987
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 51326
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 55831
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 103669
39 - 65, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 105967
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 78528
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 79798
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 59965
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 82817
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 70075
38 - 41, private, pre-doctorate, married, manual-labour, *, male, ?, 54726
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 139333
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 97813
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 89592
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 92880
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 92011
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 40884
46 - 63, non-government, pre-doctorate, married, manual-labour, *, male, ?, 46012
38 - 42, non-government, bachelors, married-civ-spouse, manual-labour, *, female, *, 54227
38 - 42, non-government, bachelors, married-civ-spouse, manual-labour, *, female, *, 51929
38 - 42, non-government, bachelors, married-civ-spouse, manual-labour, *, female, *, 109915
38 - 42, non-government, bachelors, married-civ-spouse, manual-labour, *, female, *, 45053
38 - 42, non-government, bachelors, married-civ-spouse, manual-labour, *, female, *, 95563
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 71875
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 131747
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 110256
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 121514
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 48200
43 - 59, non-government, pre-doctorate, married, skilled, *, female, *, 110491
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 69264
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 96562
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 83305
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 46573
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 96726
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 61970
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 64416
38 - 43, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 56766
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 119753
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 58887
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 102896
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 49229
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 81534
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 88457
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 75865
44 - 47, non-government, pre-doctorate, married-civ-spouse, exec-managerial, *, male, asia, 69751
39 - 47, non-government, bachelors, married, prof-specialty, *, male, asia, 96711
39 - 47, non-government, bachelors, married, prof-specialty, *, male, asia, 84528
39 - 47, non-government, bachelors, married, prof-specialty, *, male, asia, 61207
39 - 47, non-government, bachelors, married, prof-specialty, *, male, asia, 81005
39 - 47, non-government, bachelors, married, prof-specialty, *, male, asia, 85484
39 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, asia, 50817
39 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, asia, 126638
39 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, asia, 100288
39 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, asia, 100728
39 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, asia, 110544
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 65180
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 91908
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 93915
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 82118
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 136496
48 - 50, non-government, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 100479
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 64078
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 71094
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 73381
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 103859
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 60289
51 - 53, non-government, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, asia, 109334
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 64693
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 121704
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 77724
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 40916
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 112186
54 - 57, private, pre-doctorate, married-civ-spouse, professional, *, male, asia, 98370
61 - 64, non-government, pre-doctorate, married-civ-spouse, professional, *, male, asia, 94361
61 - 64, non-government, pre-doctorate, married-civ-spouse, professional, *, male, asia, 95934
61 - 64, non-government, pre-doctorate, married-civ-spouse, professional, *, male, asia, 139414
61 - 64, non-government, pre-doctorate, married-civ-spouse, professional, *, male, asia, 132531
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 59840
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 55282
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 79908
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 73680
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 43045
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 107454
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 61651
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 72353
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 93607
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 50360
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 58692
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 80868
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 84650
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 98864
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 95813
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 52615
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 111854
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 86594
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 83990
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 64556
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 48332
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 68986
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 68128
38, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 82467
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 97331
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 58188
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 70875
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 104198
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 107567
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 47238
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 49889
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 98728
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 81710
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 108079
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 65303
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 66681
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 78510
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 79543
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 80914
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 98726
39, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 56510
40, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 79071
40, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 119085
40, private, bachelors, married-civ-spouse, exec-managerial, white, male, united-states, 73032
