*, *, pre-primary, married, *, *, *, *, 19264
*, *, hs-grad, not-married, *, *, *, *, 40570
*, *, hs-grad, not-married, *, *, *, *, 62751
*, *, hs-grad, not-married, *, *, *, *, 65114
*, *, hs-grad, not-married, *, *, *, *, 45457
*, *, hs-grad, not-married, *, *, *, *, 52611
*, *, hs-grad, not-married, *, *, *, *, 38255
*, *, hs-grad, not-married, *, *, *, *, 92389
*, *, hs-grad, not-married, *, *, *, *, 65699
*, *, hs-grad, not-married, *, *, *, *, 39867
*, *, hs-grad, not-married, *, *, *, *, 78398
*, *, hs-grad, not-married, *, *, *, *, 46553
*, *, hs-grad, not-married, *, *, *, *, 70107
*, *, hs-grad, not-married, *, *, *, *, 47026
*, *, hs-grad, not-married, *, *, *, *, 52921
*, *, hs-grad, not-married, *, *, *, *, 85570
*, *, hs-grad, not-married, *, *, *, *, 39977
*, *, hs-grad, not-married, *, *, *, *, 67275
*, *, hs-grad, not-married, *, *, *, *, 62684
*, *, hs-grad, not-married, *, *, *, *, 75469
*, *, hs-grad, not-married, *, *, *, *, 48058
*, *, hs-grad, not-married, *, *, *, *, 42420
*, *, hs-grad, not-married, *, *, *, *, 49967
*, *, hs-grad, not-married, *, *, *, *, 85996
*, *, hs-grad, not-married, *, *, *, *, 94307
*, *, hs-grad, not-married, *, *, *, *, 40242
*, *, hs-grad, not-married, *, *, *, *, 48570
*, *, hs-grad, not-married, *, *, *, *, 42640
*, *, hs-grad, not-married, *, *, *, *, 70479
*, *, hs-grad, not-married, *, *, *, *, 43467
*, *, hs-grad, not-married, *, *, *, *, 42822
*, *, hs-grad, not-married, *, *, *, *, 55260
*, *, hs-grad, not-married, *, *, *, *, 66476
*, *, hs-grad, not-married, *, *, *, *, 63375
*, *, hs-grad, not-married, *, *, *, *, 61438
*, *, hs-grad, not-married, *, *, *, *, 35383
*, *, hs-grad, not-married, *, *, *, *, 84994
*, *, hs-grad, not-married, *, *, *, *, 83453
*, *, hs-grad, not-married, *, *, *, *, 84308
*, *, hs-grad, not-married, *, *, *, *, 85041
*, *, hs-grad, not-married, *, *, *, *, 35720
*, *, hs-grad, not-married, *, *, *, *, 65566
*, *, hs-grad, not-married, *, *, *, *, 36423
*, *, hs-grad, not-married, *, *, *, *, 51796
*, *, hs-grad, not-married, *, *, *, *, 73013
*, *, hs-grad, not-married, *, *, *, *, 39370
*, *, hs-grad, not-married, *, *, *, *, 56069
*, *, hs-grad, not-married, *, *, *, *, 86816
*, *, hs-grad, not-married, *, *, *, *, 61734
*, *, hs-grad, not-married, *, *, *, *, 70529
*, *, hs-grad, not-married, *, *, *, *, 47127
*, *, hs-grad, not-married, *, *, *, *, 58946
*, *, hs-grad, not-married, *, *, *, *, 42068
*, *, hs-grad, not-married, *, *, *, *, 43968
*, *, hs-grad, not-married, *, *, *, *, 85510
*, *, hs-grad, not-married, *, *, *, *, 47510
*, *, hs-grad, not-married, *, *, *, *, 93814
*, *, hs-grad, not-married, *, *, *, *, 50283
*, *, hs-grad, not-married, *, *, *, *, 68562
*, *, hs-grad, not-married, *, *, *, *, 64143
*, *, hs-grad, not-married, *, *, *, *, 61022
*, *, hs-grad, not-married, *, *, *, *, 40741
*, *, hs-grad, not-married, *, *, *, *, 82715
*, *, hs-grad, not-married, *, *, *, *, 50445
*, *, hs-grad, not-married, *, *, *, *, 35651
*, *, hs-grad, not-married, *, *, *, *, 89107
*, *, hs-grad, not-married, *, *, *, *, 74611
*, *, hs-grad, not-married, *, *, *, *, 72359
*, *, hs-grad, not-married, *, *, *, *, 46330
*, *, hs-grad, not-married, *, *, *, *, 82802
*, *, hs-grad, not-married, *, *, *, *, 43206
*, *, hs-grad, not-married, *, *, *, *, 86406
*, *, hs-grad, not-married, *, *, *, *, 61602
*, *, hs-grad, not-married, *, *, *, *, 70314
*, *, hs-grad, not-married, *, *, *, *, 70761
*, *, hs-grad, not-married, *, *, *, *, 50037
*, *, hs-grad, not-married, *, *, *, *, 56551
*, *, hs-grad, not-married, *, *, *, *, 78897
*, *, hs-grad, not-married, *, *, *, *, 55874
*, *, hs-grad, not-married, *, *, *, *, 84595
*, *, hs-grad, not-married, *, *, *, *, 57664
*, *, hs-grad, not-married, *, *, *, *, 87950
*, *, hs-grad, not-married, *, *, *, *, 75796
*, *, hs-grad, not-married, *, *, *, *, 73555
*, *, hs-grad, not-married, *, *, *, *, 66089
*, *, hs-grad, not-married, *, *, *, *, 70004
*, *, hs-grad, not-married, *, *, *, *, 62972
*, *, hs-grad, not-married, *, *, *, *, 51897
*, *, hs-grad, not-married, *, *, *, *, 50067
*, *, hs-grad, not-married, *, *, *, *, 53721
*, *, hs-grad, not-married, *, *, *, *, 51468
*, *, hs-grad, not-married, *, *, *, *, 35591
*, *, hs-grad, not-married, *, *, *, *, 94942
*, *, hs-grad, not-married, *, *, *, *, 60361
*, *, hs-grad, not-married, *, *, *, *, 52367
*, *, hs-grad, not-married, *, *, *, *, 67090
*, *, hs-grad, not-married, *, *, *, *, 62938
*, *, hs-grad, not-married, *, *, *, *, 70057
*, *, hs-grad, not-married, *, *, *, *, 75587
*, *, hs-grad, not-married, *, *, *, *, 53864
*, *, hs-grad, not-married, *, *, *, *, 37105
*, *, hs-grad, not-married, *, *, *, *, 93453
*, *, hs-grad, not-married, *, *, *, *, 87031
*, *, hs-grad, not-married, *, *, *, *, 51132
*, *, hs-grad, not-married, *, *, *, *, 41591
*, *, hs-grad, not-married, *, *, *, *, 38372
*, *, hs-grad, not-married, *, *, *, *, 38147
*, *, hs-grad, not-married, *, *, *, *, 83754
*, *, hs-grad, not-married, *, *, *, *, 42683
*, *, hs-grad, not-married, *, *, *, *, 84540
*, *, hs-grad, not-married, *, *, *, *, 89619
*, *, hs-grad, not-married, *, *, *, *, 51710
*, *, hs-grad, not-married, *, *, *, *, 47606
*, *, hs-grad, not-married, *, *, *, *, 94385
*, *, hs-grad, not-married, *, *, *, *, 67952
*, *, hs-grad, not-married, *, *, *, *, 62328
*, *, hs-grad, not-married, *, *, *, *, 67923
*, *, hs-grad, not-married, *, *, *, *, 68979
*, *, hs-grad, not-married, *, *, *, *, 78110
*, *, hs-grad, not-married, *, *, *, *, 89486
*, *, hs-grad, not-married, *, *, *, *, 82666
*, *, hs-grad, not-married, *, *, *, *, 35639
*, *, hs-grad, not-married, *, *, *, *, 93952
*, *, hs-grad, not-married, *, *, *, *, 43782
*, *, hs-grad, not-married, *, *, *, *, 80698
*, *, hs-grad, not-married, *, *, *, *, 60243
*, *, hs-grad, not-married, *, *, *, *, 92632
*, *, hs-grad, not-married, *, *, *, *, 40103
*, *, hs-grad, not-married, *, *, *, *, 55980
*, *, hs-grad, not-married, *, *, *, *, 83657
*, *, hs-grad, not-married, *, *, *, *, 37965
*, *, hs-grad, not-married, *, *, *, *, 43076
*, *, hs-grad, not-married, *, *, *, *, 59180
*, *, hs-grad, not-married, *, *, *, *, 84575
*, *, hs-grad, not-married, *, *, *, *, 60457
*, *, hs-grad, not-married, *, *, *, *, 40416
*, *, hs-grad, not-married, *, *, *, *, 76421
*, *, hs-grad, not-married, *, *, *, *, 44535
*, *, hs-grad, not-married, *, *, *, *, 55150
*, *, hs-grad, not-married, *, *, *, *, 79768
*, *, hs-grad, not-married, *, *, *, *, 45862
*, *, hs-grad, not-married, *, *, *, *, 87971
*, *, hs-grad, not-married, *, *, *, *, 69111
*, *, hs-grad, not-married, *, *, *, *, 38645
*, *, hs-grad, not-married, *, *, *, *, 60342
*, *, hs-grad, not-married, *, *, *, *, 56219
*, *, hs-grad, not-married, *, *, *, *, 92253
*, *, hs-grad, not-married, *, *, *, *, 47599
*, *, hs-grad, not-married, *, *, *, *, 61283
*, *, hs-grad, not-married, *, *, *, *, 60479
*, *, hs-grad, not-married, *, *, *, *, 68220
*, *, hs-grad, not-married, *, *, *, *, 50067
*, *, hs-grad, not-married, *, *, *, *, 39417
*, *, hs-grad, not-married, *, *, *, *, 39237
*, *, hs-grad, not-married, *, *, *, *, 55527
*, *, hs-grad, not-married, *, *, *, *, 83593
*, *, hs-grad, not-married, *, *, *, *, 62233
*, *, hs-grad, not-married, *, *, *, *, 77318
*, *, hs-grad, not-married, *, *, *, *, 63789
*, *, hs-grad, not-married, *, *, *, *, 49429
*, *, hs-grad, not-married, *, *, *, *, 44507
*, *, hs-grad, not-married, *, *, *, *, 44552
*, *, hs-grad, not-married, *, *, *, *, 50316
*, *, hs-grad, not-married, *, *, *, *, 49619
*, *, hs-grad, not-married, *, *, *, *, 47428
*, *, hs-grad, not-married, *, *, *, *, 77367
*, *, hs-grad, not-married, *, *, *, *, 64570
*, *, hs-grad, not-married, *, *, *, *, 55350
*, *, hs-grad, not-married, *, *, *, *, 83264
*, *, hs-grad, not-married, *, *, *, *, 45753
*, *, hs-grad, not-married, *, *, *, *, 44238
*, *, hs-grad, not-married, *, *, *, *, 61062
*, *, hs-grad, not-married, *, *, *, *, 57060
*, *, hs-grad, not-married, *, *, *, *, 86255
*, *, hs-grad, not-married, *, *, *, *, 48938
*, *, hs-grad, not-married, *, *, *, *, 70509
*, *, hs-grad, not-married, *, *, *, *, 35937
*, *, hs-grad, not-married, *, *, *, *, 81922
*, *, hs-grad, not-married, *, *, *, *, 61566
*, *, hs-grad, not-married, *, *, *, *, 85430
*, *, hs-grad, not-married, *, *, *, *, 60496
*, *, hs-grad, not-married, *, *, *, *, 67676
*, *, hs-grad, not-married, *, *, *, *, 44637
*, *, hs-grad, not-married, *, *, *, *, 48179
*, *, hs-grad, not-married, *, *, *, *, 42747
*, *, hs-grad, not-married, *, *, *, *, 53020
*, *, hs-grad, not-married, *, *, *, *, 59835
*, *, hs-grad, not-married, *, *, *, *, 59749
*, *, hs-grad, not-married, *, *, *, *, 72697
*, *, hs-grad, not-married, *, *, *, *, 41702
*, *, hs-grad, not-married, *, *, *, *, 54604
*, *, hs-grad, not-married, *, *, *, *, 63777
*, *, hs-grad, not-married, *, *, *, *, 38268
*, *, hs-grad, not-married, *, *, *, *, 84170
*, *, hs-grad, not-married, *, *, *, *, 62015
*, *, hs-grad, not-married, *, *, *, *, 89293
*, *, hs-grad, not-married, *, *, *, *, 86576
*, *, hs-grad, not-married, *, *, *, *, 67271
*, *, hs-grad, not-married, *, *, *, *, 73350
*, *, hs-grad, not-married, *, *, *, *, 67769
*, *, hs-grad, not-married, *, *, *, *, 54985
*, *, hs-grad, not-married, *, *, *, *, 84570
*, *, hs-grad, not-married, *, *, *, *, 47896
*, *, hs-grad, not-married, *, *, *, *, 70218
*, *, hs-grad, not-married, *, *, *, *, 69331
*, *, hs-grad, not-married, *, *, *, *, 61846
*, *, hs-grad, not-married, *, *, *, *, 81722
*, *, hs-grad, not-married, *, *, *, *, 55368
*, *, hs-grad, not-married, *, *, *, *, 85986
*, *, hs-grad, not-married, *, *, *, *, 81532
*, *, hs-grad, not-married, *, *, *, *, 49817
*, *, hs-grad, not-married, *, *, *, *, 58166
*, *, hs-grad, not-married, *, *, *, *, 84883
*, *, hs-grad, not-married, *, *, *, *, 55891
*, *, hs-grad, not-married, *, *, *, *, 71751
*, *, hs-grad, not-married, *, *, *, *, 47401
*, *, hs-grad, not-married, *, *, *, *, 53271
*, *, hs-grad, not-married, *, *, *, *, 85681
*, *, hs-grad, not-married, *, *, *, *, 55714
*, *, hs-grad, not-married, *, *, *, *, 74334
*, *, hs-grad, not-married, *, *, *, *, 53392
*, *, hs-grad, not-married, *, *, *, *, 54791
*, *, hs-grad, not-married, *, *, *, *, 63730
*, *, hs-grad, not-married, *, *, *, *, 35859
*, *, hs-grad, not-married, *, *, *, *, 93978
*, *, hs-grad, not-married, *, *, *, *, 89975
*, *, hs-grad, not-married, *, *, *, *, 89851
*, *, hs-grad, not-married, *, *, *, *, 87472
*, *, hs-grad, not-married, *, *, *, *, 51398
*, *, hs-grad, not-married, *, *, *, *, 45437
*, *, hs-grad, not-married, *, *, *, *, 84163
*, *, hs-grad, not-married, *, *, *, *, 50727
*, *, hs-grad, not-married, *, *, *, *, 44558
*, *, hs-grad, not-married, *, *, *, *, 43419
*, *, hs-grad, not-married, *, *, *, *, 72030
*, *, hs-grad, not-married, *, *, *, *, 53322
*, *, hs-grad, not-married, *, *, *, *, 84060
*, *, hs-grad, not-married, *, *, *, *, 73179
*, *, hs-grad, not-married, *, *, *, *, 85714
*, *, hs-grad, not-married, *, *, *, *, 86239
*, *, hs-grad, not-married, *, *, *, *, 57155
*, *, hs-grad, not-married, *, *, *, *, 48002
*, *, hs-grad, not-married, *, *, *, *, 89794
*, *, hs-grad, not-married, *, *, *, *, 48380
*, *, hs-grad, not-married, *, *, *, *, 55782
*, *, hs-grad, not-married, *, *, *, *, 57906
*, *, hs-grad, not-married, *, *, *, *, 40426
*, *, hs-grad, not-married, *, *, *, *, 55275
*, *, hs-grad, not-married, *, *, *, *, 67257
*, *, hs-grad, not-married, *, *, *, *, 61972
*, *, hs-grad, not-married, *, *, *, *, 83108
*, *, hs-grad, not-married, *, *, *, *, 40116
*, *, hs-grad, not-married, *, *, *, *, 69134
*, *, hs-grad, not-married, *, *, *, *, 49006
*, *, hs-grad, not-married, *, *, *, *, 87590
*, *, hs-grad, not-married, *, *, *, *, 66480
*, *, hs-grad, not-married, *, *, *, *, 36480
*, *, hs-grad, not-married, *, *, *, *, 75072
*, *, hs-grad, not-married, *, *, *, *, 94769
*, *, hs-grad, not-married, *, *, *, *, 84519
*, *, hs-grad, not-married, *, *, *, *, 81878
*, *, hs-grad, not-married, *, *, *, *, 71537
*, *, hs-grad, not-married, *, *, *, *, 58924
*, *, hs-grad, not-married, *, *, *, *, 35637
*, *, hs-grad, not-married, *, *, *, *, 73954
*, *, hs-grad, not-married, *, *, *, *, 54612
*, *, hs-grad, not-married, *, *, *, *, 91232
*, *, hs-grad, not-married, *, *, *, *, 66615
*, *, hs-grad, not-married, *, *, *, *, 43217
*, *, hs-grad, not-married, *, *, *, *, 54503
*, *, hs-grad, not-married, *, *, *, *, 49996
*, *, hs-grad, not-married, *, *, *, *, 83314
*, *, hs-grad, not-married, *, *, *, *, 40226
*, *, hs-grad, not-married, *, *, *, *, 56251
*, *, hs-grad, not-married, *, *, *, *, 69489
*, *, hs-grad, not-married, *, *, *, *, 41979
*, *, hs-grad, not-married, *, *, *, *, 41018
*, *, hs-grad, not-married, *, *, *, *, 70107
*, *, hs-grad, not-married, *, *, *, *, 74471
*, *, hs-grad, not-married, *, *, *, *, 70765
*, *, hs-grad, not-married, *, *, *, *, 39973
*, *, hs-grad, not-married, *, *, *, *, 62365
*, *, hs-grad, not-married, *, *, *, *, 40883
*, *, hs-grad, not-married, *, *, *, *, 36791
*, *, hs-grad, not-married, *, *, *, *, 86662
*, *, hs-grad, not-married, *, *, *, *, 62018
*, *, hs-grad, not-married, *, *, *, *, 63606
*, *, hs-grad, not-married, *, *, *, *, 83583
*, *, hs-grad, not-married, *, *, *, *, 52552
*, *, hs-grad, not-married, *, *, *, *, 65005
*, *, hs-grad, not-married, *, *, *, *, 74860
*, *, hs-grad, not-married, *, *, *, *, 73396
*, *, hs-grad, not-married, *, *, *, *, 56206
*, *, hs-grad, not-married, *, *, *, *, 36361
*, *, hs-grad, not-married, *, *, *, *, 93975
*, *, hs-grad, not-married, *, *, *, *, 85627
*, *, hs-grad, not-married, *, *, *, *, 37355
*, *, hs-grad, not-married, *, *, *, *, 72154
*, *, hs-grad, not-married, *, *, *, *, 45684
*, *, hs-grad, not-married, *, *, *, *, 89042
*, *, hs-grad, not-married, *, *, *, *, 62677
*, *, hs-grad, not-married, *, *, *, *, 44657
*, *, hs-grad, not-married, *, *, *, *, 47896
*, *, hs-grad, not-married, *, *, *, *, 39881
*, *, hs-grad, not-married, *, *, *, *, 92049
*, *, hs-grad, not-married, *, *, *, *, 91549
*, *, hs-grad, not-married, *, *, *, *, 44009
*, *, hs-grad, not-married, *, *, *, *, 35029
*, *, hs-grad, not-married, *, *, *, *, 64336
*, *, hs-grad, not-married, *, *, *, *, 48738
*, *, hs-grad, not-married, *, *, *, *, 87385
*, *, hs-grad, not-married, *, *, *, *, 91399
*, *, hs-grad, not-married, *, *, *, *, 53323
*, *, hs-grad, not-married, *, *, *, *, 68009
*, *, hs-grad, not-married, *, *, *, *, 86788
*, *, hs-grad, not-married, *, *, *, *, 44821
*, *, hs-grad, not-married, *, *, *, *, 59634
*, *, hs-grad, not-married, *, *, *, *, 49224
*, *, hs-grad, not-married, *, *, *, *, 75100
*, *, hs-grad, not-married, *, *, *, *, 54916
*, *, hs-grad, not-married, *, *, *, *, 70820
*, *, hs-grad, not-married, *, *, *, *, 91297
*, *, hs-grad, not-married, *, *, *, *, 75570
*, *, hs-grad, not-married, *, *, *, *, 63132
*, *, hs-grad, not-married, *, *, *, *, 87752
*, *, hs-grad, not-married, *, *, *, *, 74584
*, *, hs-grad, not-married, *, *, *, *, 35285
*, *, hs-grad, not-married, *, *, *, *, 67999
*, *, hs-grad, not-married, *, *, *, *, 84397
*, *, hs-grad, not-married, *, *, *, *, 68474
*, *, hs-grad, not-married, *, *, *, *, 61850
*, *, hs-grad, not-married, *, *, *, *, 79261
*, *, hs-grad, not-married, *, *, *, *, 60884
*, *, hs-grad, not-married, *, *, *, *, 59662
*, *, hs-grad, not-married, *, *, *, *, 63304
*, *, hs-grad, not-married, *, *, *, *, 51072
*, *, hs-grad, not-married, *, *, *, *, 92276
*, *, hs-grad, not-married, *, *, *, *, 82069
*, *, hs-grad, not-married, *, *, *, *, 74933
*, *, hs-grad, not-married, *, *, *, *, 70046
*, *, hs-grad, not-married, *, *, *, *, 43735
*, *, hs-grad, not-married, *, *, *, *, 83040
*, *, hs-grad, not-married, *, *, *, *, 43716
*, *, hs-grad, not-married, *, *, *, *, 49387
*, *, hs-grad, not-married, *, *, *, *, 70362
*, *, hs-grad, not-married, *, *, *, *, 68530
*, *, hs-grad, not-married, *, *, *, *, 48139
*, *, hs-grad, not-married, *, *, *, *, 75940
*, *, hs-grad, not-married, *, *, *, *, 84640
*, *, hs-grad, not-married, *, *, *, *, 87249
*, *, hs-grad, not-married, *, *, *, *, 83954
*, *, hs-grad, not-married, *, *, *, *, 36165
*, *, hs-grad, not-married, *, *, *, *, 84525
*, *, hs-grad, not-married, *, *, *, *, 75600
*, *, hs-grad, not-married, *, *, *, *, 43060
*, *, hs-grad, not-married, *, *, *, *, 40028
*, *, hs-grad, not-married, *, *, *, *, 39008
*, *, hs-grad, not-married, *, *, *, *, 94249
*, *, hs-grad, not-married, *, *, *, *, 85153
*, *, hs-grad, not-married, *, *, *, *, 73711
*, *, hs-grad, not-married, *, *, *, *, 67156
*, *, hs-grad, not-married, *, *, *, *, 79350
*, *, hs-grad, not-married, *, *, *, *, 40418
*, *, hs-grad, not-married, *, *, *, *, 82955
*, *, hs-grad, not-married, *, *, *, *, 77107
*, *, hs-grad, not-married, *, *, *, *, 46736
*, *, hs-grad, not-married, *, *, *, *, 87263
*, *, hs-grad, not-married, *, *, *, *, 79526
*, *, hs-grad, not-married, *, *, *, *, 78856
*, *, hs-grad, not-married, *, *, *, *, 70842
*, *, hs-grad, not-married, *, *, *, *, 91859
*, *, hs-grad, not-married, *, *, *, *, 42021
*, *, hs-grad, not-married, *, *, *, *, 77699
*, *, hs-grad, not-married, *, *, *, *, 87284
*, *, hs-grad, not-married, *, *, *, *, 63598
*, *, hs-grad, not-married, *, *, *, *, 56210
*, *, hs-grad, not-married, *, *, *, *, 36316
*, *, hs-grad, not-married, *, *, *, *, 39828
*, *, hs-grad, not-married, *, *, *, *, 72707
*, *, hs-grad, not-married, *, *, *, *, 59855
*, *, hs-grad, not-married, *, *, *, *, 72600
*, *, hs-grad, not-married, *, *, *, *, 85190
*, *, hs-grad, not-married, *, *, *, *, 62978
*, *, hs-grad, not-married, *, *, *, *, 92840
*, *, hs-grad, not-married, *, *, *, *, 84933
*, *, hs-grad, not-married, *, *, *, *, 38802
*, *, hs-grad, not-married, *, *, *, *, 73855
*, *, hs-grad, not-married, *, *, *, *, 39035
*, *, hs-grad, not-married, *, *, *, *, 44559
*, *, hs-grad, not-married, *, *, *, *, 86506
*, *, hs-grad, not-married, *, *, *, *, 65084
*, *, hs-grad, not-married, *, *, *, *, 38133
*, *, hs-grad, not-married, *, *, *, *, 46561
*, *, hs-grad, not-married, *, *, *, *, 70661
*, *, hs-grad, not-married, *, *, *, *, 55353
*, *, hs-grad, not-married, *, *, *, *, 70023
*, *, hs-grad, not-married, *, *, *, *, 92886
*, *, hs-grad, not-married, *, *, *, *, 89698
*, *, hs-grad, not-married, *, *, *, *, 68900
*, *, hs-grad, not-married, *, *, *, *, 38262
*, *, hs-grad, not-married, *, *, *, *, 52224
*, *, hs-grad, not-married, *, *, *, *, 57206
*, *, hs-grad, not-married, *, *, *, *, 48288
*, *, hs-grad, not-married, *, *, *, *, 66635
*, *, hs-grad, not-married, *, *, *, *, 58453
*, *, hs-grad, not-married, *, *, *, *, 44849
*, *, hs-grad, not-married, *, *, *, *, 66133
*, *, hs-grad, not-married, *, *, *, *, 47830
*, *, hs-grad, not-married, *, *, *, *, 60625
*, *, hs-grad, not-married, *, *, *, *, 65302
*, *, hs-grad, not-married, *, *, *, *, 44578
*, *, hs-grad, not-married, *, *, *, *, 91909
*, *, hs-grad, not-married, *, *, *, *, 83606
*, *, hs-grad, not-married, *, *, *, *, 93423
*, *, hs-grad, not-married, *, *, *, *, 82170
*, *, hs-grad, not-married, *, *, *, *, 43427
*, *, hs-grad, not-married, *, *, *, *, 55175
*, *, hs-grad, not-married, *, *, *, *, 78473
*, *, hs-grad, not-married, *, *, *, *, 93415
*, *, hs-grad, not-married, *, *, *, *, 93725
*, *, hs-grad, not-married, *, *, *, *, 60357
*, *, hs-grad, not-married, *, *, *, *, 74087
*, *, hs-grad, not-married, *, *, *, *, 48784
*, *, hs-grad, not-married, *, *, *, *, 59563
*, *, hs-grad, not-married, *, *, *, *, 80643
*, *, hs-grad, not-married, *, *, *, *, 68477
*, *, hs-grad, not-married, *, *, *, *, 39449
*, *, hs-grad, not-married, *, *, *, *, 70311
*, *, hs-grad, not-married, *, *, *, *, 74692
*, *, hs-grad, not-married, *, *, *, *, 83133
*, *, hs-grad, not-married, *, *, *, *, 60971
*, *, hs-grad, not-married, *, *, *, *, 54028
*, *, hs-grad, not-married, *, *, *, *, 75401
*, *, hs-grad, not-married, *, *, *, *, 87650
*, *, hs-grad, not-married, *, *, *, *, 56830
*, *, hs-grad, not-married, *, *, *, *, 93998
*, *, hs-grad, not-married, *, *, *, *, 91594
*, *, hs-grad, not-married, *, *, *, *, 50494
*, *, hs-grad, not-married, *, *, *, *, 86447
*, *, hs-grad, not-married, *, *, *, *, 67257
*, *, hs-grad, not-married, *, *, *, *, 50573
*, *, hs-grad, not-married, *, *, *, *, 48372
*, *, hs-grad, not-married, *, *, *, *, 84578
*, *, hs-grad, not-married, *, *, *, *, 89013
*, *, hs-grad, not-married, *, *, *, *, 38531
*, *, hs-grad, not-married, *, *, *, *, 59805
*, *, hs-grad, not-married, *, *, *, *, 39205
*, *, hs-grad, not-married, *, *, *, *, 67703
*, *, hs-grad, not-married, *, *, *, *, 94748
*, *, hs-grad, not-married, *, *, *, *, 42118
*, *, hs-grad, not-married, *, *, *, *, 42954
*, *, hs-grad, not-married, *, *, *, *, 92244
*, *, hs-grad, not-married, *, *, *, *, 84078
*, *, hs-grad, not-married, *, *, *, *, 52664
*, *, hs-grad, not-married, *, *, *, *, 66853
*, *, hs-grad, not-married, *, *, *, *, 44596
*, *, hs-grad, not-married, *, *, *, *, 52300
*, *, hs-grad, not-married, *, *, *, *, 78094
*, *, hs-grad, not-married, *, *, *, *, 37279
*, *, hs-grad, not-married, *, *, *, *, 36705
*, *, hs-grad, not-married, *, *, *, *, 86537
*, *, hs-grad, not-married, *, *, *, *, 79433
*, *, hs-grad, not-married, *, *, *, *, 91952
*, *, hs-grad, not-married, *, *, *, *, 93268
*, *, hs-grad, not-married, *, *, *, *, 83335
*, *, hs-grad, not-married, *, *, *, *, 46358
*, *, hs-grad, not-married, *, *, *, *, 82633
*, *, hs-grad, not-married, *, *, *, *, 62858
*, *, hs-grad, not-married, *, *, *, *, 86157
*, *, hs-grad, not-married, *, *, *, *, 42777
*, *, hs-grad, not-married, *, *, *, *, 78402
*, *, hs-grad, not-married, *, *, *, *, 59825
*, *, hs-grad, not-married, *, *, *, *, 58244
*, *, hs-grad, not-married, *, *, *, *, 47596
*, *, hs-grad, not-married, *, *, *, *, 91069
*, *, hs-grad, not-married, *, *, *, *, 92179
*, *, hs-grad, not-married, *, *, *, *, 52671
*, *, hs-grad, not-married, *, *, *, *, 40167
*, *, hs-grad, not-married, *, *, *, *, 73614
*, *, hs-grad, not-married, *, *, *, *, 36977
*, *, hs-grad, not-married, *, *, *, *, 46589
*, *, hs-grad, not-married, *, *, *, *, 63660
*, *, hs-grad, not-married, *, *, *, *, 71261
*, *, hs-grad, not-married, *, *, *, *, 73664
*, *, hs-grad, not-married, *, *, *, *, 57587
*, *, hs-grad, not-married, *, *, *, *, 82977
*, *, hs-grad, not-married, *, *, *, *, 72697
*, *, hs-grad, not-married, *, *, *, *, 86149
*, *, hs-grad, not-married, *, *, *, *, 37280
*, *, hs-grad, not-married, *, *, *, *, 60315
*, *, hs-grad, not-married, *, *, *, *, 46800
*, *, hs-grad, not-married, *, *, *, *, 79328
*, *, hs-grad, not-married, *, *, *, *, 38854
*, *, hs-grad, not-married, *, *, *, *, 94922
*, *, hs-grad, not-married, *, *, *, *, 46282
*, *, hs-grad, not-married, *, *, *, *, 75527
*, *, hs-grad, not-married, *, *, *, *, 37260
*, *, hs-grad, not-married, *, *, *, *, 44334
*, *, hs-grad, not-married, *, *, *, *, 81068
*, *, hs-grad, not-married, *, *, *, *, 66947
*, *, hs-grad, not-married, *, *, *, *, 75617
*, *, hs-grad, not-married, *, *, *, *, 78897
*, *, hs-grad, not-married, *, *, *, *, 59838
*, *, hs-grad, not-married, *, *, *, *, 83402
*, *, hs-grad, not-married, *, *, *, *, 80488
*, *, hs-grad, not-married, *, *, *, *, 74425
*, *, hs-grad, not-married, *, *, *, *, 65539
*, *, hs-grad, not-married, *, *, *, *, 43160
*, *, hs-grad, not-married, *, *, *, *, 69217
*, *, hs-grad, not-married, *, *, *, *, 62467
*, *, hs-grad, not-married, *, *, *, *, 42462
*, *, hs-grad, not-married, *, *, *, *, 55515
*, *, hs-grad, not-married, *, *, *, *, 93590
*, *, hs-grad, not-married, *, *, *, *, 42401
*, *, hs-grad, not-married, *, *, *, *, 37073
*, *, hs-grad, not-married, *, *, *, *, 61494
*, *, hs-grad, not-married, *, *, *, *, 35055
*, *, hs-grad, not-married, *, *, *, *, 65293
*, *, hs-grad, not-married, *, *, *, *, 36313
*, *, hs-grad, not-married, *, *, *, *, 42017
*, *, hs-grad, not-married, *, *, *, *, 90937
*, *, hs-grad, not-married, *, *, *, *, 76154
*, *, hs-grad, not-married, *, *, *, *, 69318
*, *, hs-grad, not-married, *, *, *, *, 70780
*, *, hs-grad, not-married, *, *, *, *, 40512
*, *, hs-grad, not-married, *, *, *, *, 48625
*, *, hs-grad, not-married, *, *, *, *, 37529
*, *, hs-grad, not-married, *, *, *, *, 40439
*, *, hs-grad, not-married, *, *, *, *, 55120
*, *, hs-grad, not-married, *, *, *, *, 54339
*, *, hs-grad, not-married, *, *, *, *, 93351
*, *, hs-grad, not-married, *, *, *, *, 80670
*, *, hs-grad, not-married, *, *, *, *, 67769
*, *, hs-grad, not-married, *, *, *, *, 89947
*, *, hs-grad, not-married, *, *, *, *, 86332
*, *, hs-grad, not-married, *, *, *, *, 37001
*, *, hs-grad, not-married, *, *, *, *, 85611
*, *, hs-grad, not-married, *, *, *, *, 47133
