22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
62 - 64, private, hs-grad, divorced, other-service, white, female, united-states, 26038
62 - 64, private, hs-grad, divorced, other-service, white, female, united-states, 92821
61, private, some-college, divorced, other-service, white, female, united-states, 42525
61, private, some-college, divorced, other-service, white, female, united-states, 144394
62 - 63, private, some-college, divorced, other-service, white, female, united-states, 66655
62 - 63, private, some-college, divorced, other-service, white, female, united-states, 108572
65 - 69, private, hs-grad, divorced, other-service, white, female, united-states, 16690
65 - 69, private, hs-grad, divorced, other-service, white, female, united-states, 124260
70, private, hs-grad, divorced, other-service, white, female, united-states, 110879
70, private, hs-grad, divorced, other-service, white, female, united-states, 182051
71 - 73, private, hs-grad, divorced, other-service, white, female, united-states, 44934
71 - 73, private, hs-grad, divorced, other-service, white, female, united-states, 80935
71 - 73, private, hs-grad, divorced, other-service, white, female, united-states, 122647
62, private, hs-grad, widowed, other-service, white, female, united-states, 166841
62, private, hs-grad, widowed, other-service, white, female, united-states, 137744
63, private, hs-grad, widowed, other-service, white, female, united-states, 88124
63, private, hs-grad, widowed, other-service, white, female, united-states, 110604
63, private, hs-grad, widowed, other-service, white, female, united-states, 15479
64 - 65, private, hs-grad, widowed, other-service, white, female, united-states, 95249
64 - 65, private, hs-grad, widowed, other-service, white, female, united-states, 104649
64 - 65, private, hs-grad, widowed, other-service, white, female, united-states, 30988
62 - 63, private, some-college, widowed, other-service, white, female, united-states, 182007
62 - 63, private, some-college, widowed, other-service, white, female, united-states, 166336
64 - 65, private, some-college, widowed, other-service, white, female, united-states, 112148
64 - 65, private, some-college, widowed, other-service, white, female, united-states, 160586
61 - 64, self-emp-not-inc, hs-grad, widowed, other-service, white, female, united-states, 198091
61 - 64, self-emp-not-inc, hs-grad, widowed, other-service, white, female, united-states, 90539
67, non-government, hs-grad, widowed, other-service, white, female, united-states, 148283
67, non-government, hs-grad, widowed, other-service, white, female, united-states, 20116
67, non-government, hs-grad, widowed, other-service, white, female, united-states, 66357
68, non-government, pre-university, widowed, other-service, white, female, united-states, 70244
68, non-government, pre-university, widowed, other-service, white, female, united-states, 75913
69 - 70, non-government, hs-grad, widowed, other-service, white, female, united-states, 129695
69 - 70, non-government, hs-grad, widowed, other-service, white, female, united-states, 187380
72 - 73, private, hs-grad, widowed, other-service, white, female, united-states, 156418
72 - 73, private, hs-grad, widowed, other-service, white, female, united-states, 130877
72 - 73, private, hs-grad, widowed, other-service, white, female, united-states, 103422
72 - 73, private, hs-grad, widowed, other-service, white, female, united-states, 136314
76 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 130984
76 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 21577
76 - 84, non-government, hs-grad, widowed, other-service, white, female, united-states, 14759
62 - 71, non-government, pre-university, never-married, other-service, white, female, united-states, 100153
62 - 71, non-government, pre-university, never-married, other-service, white, female, united-states, 29373
73 - 90, non-government, hs-grad, never-married, other-service, white, female, united-states, 153197
73 - 90, non-government, hs-grad, never-married, other-service, white, female, united-states, 155998
73 - 90, non-government, hs-grad, never-married, other-service, white, female, united-states, 43248
54 - 55, private, hs-grad, not-married, other-service, white, female, europe, 72475
54 - 55, private, hs-grad, not-married, other-service, white, female, europe, 136534
58 - 68, private, pre-university, not-married, other-service, white, female, europe, 134577
58 - 68, private, pre-university, not-married, other-service, white, female, europe, 193951
46 - 57, private, pre-university, not-married, other-service, *, female, ?, 28467
46 - 57, private, pre-university, not-married, other-service, *, female, ?, 41851
46 - 57, private, pre-university, not-married, other-service, *, female, ?, 59361
38 - 39, private, bachelors, married-civ-spouse, skilled, *, male, asia, 65937
38 - 39, private, bachelors, married-civ-spouse, skilled, *, male, asia, 179225
38 - 39, private, bachelors, married, transport-moving, *, male, asia, 88256
38 - 39, private, bachelors, married, transport-moving, *, male, asia, 145605
45 - 66, private, bachelors, married-civ-spouse, craft-repair, asian-pac-islander, male, asia, 127933
45 - 66, private, bachelors, married-civ-spouse, craft-repair, asian-pac-islander, male, asia, 95121
45 - 66, private, bachelors, married-civ-spouse, craft-repair, asian-pac-islander, male, asia, 29146
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 93857
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 163336
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 146135
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 53310
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 76973
38 - 39, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 17750
41, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 58242
41, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 86578
41, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 47285
41, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 70762
43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 158065
43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 158869
43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 149413
43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 77573
43, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 18105
44, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 104990
44, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 167451
44, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 153800
44, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 129583
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 166854
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 127401
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 143735
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 159071
45, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 160215
46, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 171567
46, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 55620
46, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 195869
38 - 44, private, masters, married-civ-spouse, craft-repair, *, male, united-states, 31347
38 - 44, private, masters, married-civ-spouse, craft-repair, *, male, united-states, 106557
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 82581
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 41022
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 178501
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 170307
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 102069
38 - 43, private, pre-doctorate, married-civ-spouse, machine-op-inspct, *, male, united-states, 42424
44 - 45, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 133407
44 - 45, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 37249
44 - 45, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 20580
38 - 40, self-emp-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 72850
38 - 40, self-emp-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 86272
38 - 40, self-emp-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 94549
38 - 40, self-emp-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 135889
42 - 45, self-emp-inc, bachelors, married-civ-spouse, skilled, *, male, united-states, 105006
42 - 45, self-emp-inc, bachelors, married-civ-spouse, skilled, *, male, united-states, 24499
42 - 45, self-emp-inc, bachelors, married-civ-spouse, skilled, *, male, united-states, 35666
38 - 40, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 154503
38 - 40, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 147186
38 - 40, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 45139
42 - 43, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 189026
42 - 43, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 24333
45 - 46, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 147267
45 - 46, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 139928
39 - 46, self-emp-not-inc, masters, married-civ-spouse, craft-repair, white, male, united-states, 182144
39 - 46, self-emp-not-inc, masters, married-civ-spouse, craft-repair, white, male, united-states, 133870
39 - 46, self-emp-not-inc, masters, married-civ-spouse, craft-repair, white, male, united-states, 16887
38 - 40, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 165122
38 - 40, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 126001
41, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 32823
41, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 189635
43 - 45, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 192987
43 - 45, private, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 175792
40, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 27740
40, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 108855
43 - 45, private, bachelors, married-civ-spouse, handlers-cleaners, *, male, north-america, 139604
43 - 45, private, bachelors, married-civ-spouse, handlers-cleaners, *, male, north-america, 133187
38 - 41, private, bachelors, married-civ-spouse, transport-moving, white, male, north-america, 72940
38 - 41, private, bachelors, married-civ-spouse, transport-moving, white, male, north-america, 107680
38 - 41, private, bachelors, married-civ-spouse, transport-moving, white, male, north-america, 148913
42, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 115606
42, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 22660
42, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 94742
43, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 191824
44, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 140575
44, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 171764
44, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 38075
44, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 89591
45, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 131272
45, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 96978
46, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 55543
46, private, bachelors, married-civ-spouse, transport-moving, white, male, united-states, 99671
42 - 45, self-emp-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 112990
42 - 45, self-emp-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 161934
42 - 45, self-emp-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 98347
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 172096
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 67457
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 130570
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 132418
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 120755
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 48221
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 70925
38 - 42, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 78439
43 - 44, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 89622
43 - 44, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 136620
45, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 67844
45, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 111413
45, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 98921
46, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, central-north-america, 112480
38 - 44, self-emp-not-inc, masters, married-civ-spouse, farming-fishing, white, male, united-states, 132279
38 - 44, self-emp-not-inc, masters, married-civ-spouse, farming-fishing, white, male, united-states, 49872
38 - 42, private, bachelors, married-spouse-absent, manual-labour, *, male, north-america, 29648
38 - 42, private, bachelors, married-spouse-absent, manual-labour, *, male, north-america, 112357
38 - 39, non-government, bachelors, separated, craft-repair, white, male, united-states, 158370
38 - 39, non-government, bachelors, separated, craft-repair, white, male, united-states, 75394
40 - 43, non-government, bachelors, separated, craft-repair, white, male, united-states, 169506
40 - 43, non-government, bachelors, separated, craft-repair, white, male, united-states, 30448
40 - 43, non-government, bachelors, separated, craft-repair, white, male, united-states, 43606
47, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 161361
47, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 139464
48, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 113629
48, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 180846
49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 26765
49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 190862
49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 197075
49, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 70839
50, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 195417
50, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 78730
50, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 195583
51, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 45917
51, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 105873
51, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 154856
52, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 14876
52, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 39585
53, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 133590
53, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 119260
50 - 51, private, masters, married-civ-spouse, craft-repair, white, male, united-states, 42105
50 - 51, private, masters, married-civ-spouse, craft-repair, white, male, united-states, 143288
47 - 49, private, bachelors, married-civ-spouse, machine-op-inspct, *, male, united-states, 178692
47 - 49, private, bachelors, married-civ-spouse, machine-op-inspct, *, male, united-states, 109549
50 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, white, male, united-states, 149010
50 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, white, male, united-states, 61483
50 - 52, private, pre-doctorate, married-civ-spouse, machine-op-inspct, white, male, united-states, 179172
48 - 49, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 96165
48 - 49, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 45722
48 - 49, self-emp-not-inc, bachelors, married, craft-repair, white, male, united-states, 36620
50, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 73754
50, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 111864
47, non-government, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 154016
47, non-government, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 145971
48 - 49, non-government, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 22643
48 - 49, non-government, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 154970
48 - 49, non-government, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 14894
50 - 51, private, bachelors, married-civ-spouse, farming-fishing, white, male, north-america, 185395
50 - 51, private, bachelors, married-civ-spouse, farming-fishing, white, male, north-america, 26271
50 - 51, self-emp-not-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 79863
50 - 51, self-emp-not-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 45567
50 - 51, self-emp-not-inc, pre-doctorate, married-civ-spouse, farming-fishing, white, male, united-states, 106960
48 - 53, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 164463
48 - 53, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 59788
48 - 53, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 172673
48, private, pre-doctorate, married-civ-spouse, transport-moving, white, male, united-states, 105856
48, private, pre-doctorate, married-civ-spouse, transport-moving, white, male, united-states, 41767
49 - 51, private, bachelors, married, transport-moving, white, male, central-north-america, 13532
49 - 51, private, bachelors, married, transport-moving, white, male, central-north-america, 181573
49 - 51, private, bachelors, married, transport-moving, white, male, central-north-america, 133779
54 - 55, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 122182
54 - 55, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 81228
54 - 55, private, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 44306
56, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 167576
56, private, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 137976
59, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 187950
59, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 129861
59, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 47175
59, private, bachelors, married-civ-spouse, craft-repair, *, male, united-states, 137455
55 - 58, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 43261
55 - 58, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 158951
55 - 58, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, united-states, 176541
57 - 59, self-emp-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 124972
57 - 59, self-emp-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 25885
54 - 59, self-emp-not-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 39588
54 - 59, self-emp-not-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 37086
54 - 59, self-emp-not-inc, pre-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 151155
54 - 57, private, pre-doctorate, married-civ-spouse, transport-moving, white, male, united-states, 46800
54 - 57, private, pre-doctorate, married-civ-spouse, transport-moving, white, male, united-states, 73009
54 - 57, private, pre-doctorate, married-civ-spouse, transport-moving, white, male, united-states, 142224
54 - 58, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 89720
54 - 58, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 49508
54 - 58, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 34447
59, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, central-north-america, 23842
62, private, bachelors, married-civ-spouse, skilled, white, male, united-states, 13453
62, private, bachelors, married-civ-spouse, skilled, white, male, united-states, 183901
62, private, bachelors, married-civ-spouse, skilled, white, male, united-states, 153634
60 - 62, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 180148
60 - 62, self-emp-not-inc, bachelors, married-civ-spouse, craft-repair, white, male, united-states, 32744
69 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 108263
69 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 118193
69 - 76, non-government, pre-doctorate, married-civ-spouse, skilled, white, male, united-states, 117307
60 - 65, private, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 161164
60 - 65, private, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 44241
60 - 65, private, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 124513
66 - 68, private, bachelors, married-civ-spouse, unskilled, white, male, united-states, 162469
66 - 68, private, bachelors, married-civ-spouse, unskilled, white, male, united-states, 52060
69 - 70, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 95802
69 - 70, private, bachelors, married-civ-spouse, handlers-cleaners, white, male, united-states, 91169
62 - 63, self-emp-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 185789
62 - 63, self-emp-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 98177
60 - 61, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 19717
60 - 61, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 80875
60 - 61, self-emp-not-inc, bachelors, married-civ-spouse, unskilled, white, male, united-states, 155250
63 - 67, self-emp-not-inc, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 154837
63 - 67, self-emp-not-inc, pre-doctorate, married-civ-spouse, unskilled, white, male, united-states, 30045
73 - 84, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 98476
73 - 84, self-emp-not-inc, bachelors, married-civ-spouse, farming-fishing, white, male, united-states, 165698
39 - 45, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 18110
39 - 45, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 148608
39 - 45, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, europe, 17768
46 - 57, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, europe, 152931
46 - 57, private, bachelors, married-civ-spouse, machine-op-inspct, white, male, europe, 23741
59 - 65, private, bachelors, married-civ-spouse, manual-labour, white, male, europe, 83521
59 - 65, private, bachelors, married-civ-spouse, manual-labour, white, male, europe, 111061
38 - 39, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, ?, 164538
38 - 39, private, pre-doctorate, married-civ-spouse, manual-labour, white, male, ?, 44445
41, private, bachelors, married-civ-spouse, skilled, *, male, ?, 101931
41, private, bachelors, married-civ-spouse, skilled, *, male, ?, 193565
39 - 40, private, bachelors, married-spouse-absent, manual-labour, *, male, ?, 179591
39 - 40, private, bachelors, married-spouse-absent, manual-labour, *, male, ?, 166565
46 - 50, non-government, bachelors, married-civ-spouse, manual-labour, white, male, ?, 54826
46 - 50, non-government, bachelors, married-civ-spouse, manual-labour, white, male, ?, 131208
46 - 50, non-government, bachelors, married-civ-spouse, manual-labour, white, male, ?, 196510
54 - 55, non-government, bachelors, married, skilled, *, male, ?, 15015
54 - 55, non-government, bachelors, married, skilled, *, male, ?, 102272
61 - 63, non-government, pre-doctorate, married-civ-spouse, craft-repair, white, male, ?, 20862
61 - 63, non-government, pre-doctorate, married-civ-spouse, craft-repair, white, male, ?, 137621
43 - 47, non-government, pre-doctorate, married, machine-op-inspct, asian-pac-islander, female, asia, 85370
43 - 47, non-government, pre-doctorate, married, machine-op-inspct, asian-pac-islander, female, asia, 98207
53 - 59, private, pre-doctorate, married-civ-spouse, skilled, asian-pac-islander, female, asia, 65057
53 - 59, private, pre-doctorate, married-civ-spouse, skilled, asian-pac-islander, female, asia, 33671
42 - 44, private, bachelors, married, skilled, black, female, united-states, 171919
42 - 44, private, bachelors, married, skilled, black, female, united-states, 78602
38 - 39, non-government, bachelors, married-civ-spouse, manual-labour, white, female, united-states, 172592
38 - 39, non-government, bachelors, married-civ-spouse, manual-labour, white, female, united-states, 114257
38 - 39, non-government, bachelors, married-civ-spouse, manual-labour, white, female, united-states, 141546
39 - 55, private, bachelors, married, manual-labour, white, female, europe, 104451
39 - 55, private, bachelors, married, manual-labour, white, female, europe, 166560
38 - 51, private, bachelors, married-civ-spouse, prof-specialty, amer-indian-eskimo, male, united-states, 62479
38 - 51, private, bachelors, married-civ-spouse, prof-specialty, amer-indian-eskimo, male, united-states, 168710
38 - 39, non-government, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 193054
38 - 39, non-government, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 85969
40 - 41, non-government, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 127791
40 - 41, non-government, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 104835
40 - 41, non-government, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 188690
45 - 47, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 198681
45 - 47, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 180192
45 - 47, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 150494
44 - 45, self-emp-not-inc, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 37230
44 - 45, self-emp-not-inc, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 125385
45 - 47, non-government, bachelors, married-civ-spouse, prof-specialty, asian-pac-islander, male, east-asia, 149516
45 - 47, non-government, bachelors, married-civ-spouse, prof-specialty, asian-pac-islander, male, east-asia, 132625
41, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, east-asia, 140412
41, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, east-asia, 145749
39, private, pre-doctorate, married-civ-spouse, prof-specialty, asian-pac-islander, male, philippines, 169776
39, private, pre-doctorate, married-civ-spouse, prof-specialty, asian-pac-islander, male, philippines, 114117
40 - 43, non-government, bachelors, married, professional, asian-pac-islander, male, southeast-asia, 62534
40 - 43, non-government, bachelors, married, professional, asian-pac-islander, male, southeast-asia, 51283
43 - 45, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, india, 159235
43 - 45, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, india, 76847
43 - 45, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, india, 137407
42 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 17766
42 - 47, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 103231
48 - 53, private, bachelors, married-civ-spouse, professional, asian-pac-islander, male, japan, 130696
48 - 53, private, bachelors, married-civ-spouse, professional, asian-pac-islander, male, japan, 136731
54, private, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 149567
54, private, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, east-asia, 170157
57 - 64, private, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, east-asia, 99865
57 - 64, private, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, east-asia, 166139
50 - 57, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, philippines, 37543
50 - 57, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, philippines, 72205
50 - 57, private, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, philippines, 93048
48 - 53, private, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, india, 64564
48 - 53, private, bachelors, married-civ-spouse, exec-managerial, asian-pac-islander, male, india, 155310
51 - 53, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 64959
51 - 53, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 71826
54 - 61, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 108210
54 - 61, private, masters, married-civ-spouse, prof-specialty, asian-pac-islander, male, india, 159826
50 - 62, self-emp-inc, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, east-asia, 182025
50 - 62, self-emp-inc, pre-doctorate, married-civ-spouse, professional, asian-pac-islander, male, east-asia, 166328
48 - 52, self-emp-not-inc, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 171361
48 - 52, self-emp-not-inc, pre-doctorate, married-civ-spouse, exec-managerial, asian-pac-islander, male, asia, 113920
53 - 63, self-emp-not-inc, bachelors, married-civ-spouse, professional, asian-pac-islander, male, china, 71366
53 - 63, self-emp-not-inc, bachelors, married-civ-spouse, professional, asian-pac-islander, male, china, 137074
