*, *, pre-primary, *, customer-service, *, *, *, <=50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, post-doctorate, *, prof-specialty, *, *, *, >50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, exec-managerial, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 7th-8th, *, prof-specialty, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, <=50K
*, *, 9th, *, exec-managerial, *, *, *, >50K
*, *, 9th, *, exec-managerial, *, *, *, >50K
*, *, 9th, *, exec-managerial, *, *, *, >50K
*, *, 9th, *, prof-specialty, *, *, *, <=50K
*, *, 9th, *, prof-specialty, *, *, *, <=50K
*, *, 9th, *, prof-specialty, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, <=50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
*, *, 10th, *, exec-managerial, *, *, *, >50K
